pronunciation,kana,kanji,meaning
reiki,れいき,例規,"established rule, statute"
reikoku,れいこく,例刻,"the regular time"
reisai,れいさい,例祭,"regular festival, annual festival"
reisiki,れいしき,例式,"regular ceremony, established form"
reisuu,れいすう,例数,"number of cases"
reiwa,れいわ,例話,"illustration"
rei,れい,冷,"refrigerator"
hie,ひえ,冷え,"chilliness, coldness"
hieru,ひえる,冷える,"to grow cold (from room temperature, e.g. in refrigerator), to get chilly, to cool down"
hiekomu,ひえこむ,冷え込む,"to get (much) colder, to deepen (cold)"
hiekiru,ひえきる,冷え切る,"to become completely chilled"
hieiru,ひえいる,冷え入る,"to become completely chilled"
hietunoru,ひえつのる,冷え募る,"to get colder, to get chilled"
tumetai,つめたい,冷たい,"cold (to the touch), chilly, icy, freezing"
samasu,さます,冷ます,"to cool (e.g. from a high temperature to room temperature), to let cool"
sameru,さめる,冷める,"to cool down, to get cold"
hiyakasu,ひやかす,冷やかす,"to banter, to make fun of, to jeer at"
hiyasu,ひやす,冷やす,"to cool (from room temperature), to chill, to refrigerate"
hiyamesi,ひやめし,冷や飯,"cold rice"
hiyahiya,ひやひや,冷や冷や,"feeling chilly"
reiu,れいう,冷雨,"chilly rain"
reikaku,れいかく,冷覚,"sensation of cold"
reiki,れいき,冷気,"cold, chill, cold weather, cold wave, cold air"
reiketu,れいけつ,冷血,"cold-bloodedness, coldheartedness"
reikou,れいこう,冷光,"cold light, luminescence"
reikoku,れいこく,冷酷,"cruelty, coldheartedness, relentless, ruthless"
reisui,れいすい,冷水,"cold water"
reisuimasatu,れいすいまさつ,冷水摩擦,"rubdown with a wet towel, cold-water rubbing"
reisuiyoku,れいすいよく,冷水浴,"cold bath, cold shower"
reisei,れいせい,冷静,"calmness, composure, coolness, serenity, presence of mind"
reitetu,れいてつ,冷徹,"cool-headed, level-headed, hard-headed"
reitou,れいとう,冷凍,"freezing, cold storage, refrigeration"
reitouko,れいとうこ,冷凍庫,"freezer"
reiniku,れいにく,冷肉,"cold meat"
reiki,れいき,励起,"(electrical) excitation"
reikou,れいこう,励行,"strict observance (of rules, regulations, etc.), strict adherence, conscientious practice (of good habits, etc.), diligent execution (e.g. of duties), sticking to (e.g. a routine)"
reisei,れいせい,励精,"diligence, assiduity, industry"
reisei,れいせい,励声,"shouts of encouragement"
rei,れい,礼,"thanks, gratitude"
reiwoiu,れいをいう,礼を言う,"to thank"
reisiki,れいしき,礼式,"etiquette, manners"
reisetu,れいせつ,礼節,"decorum, propriety, politeness"
reihai,れいはい,礼拝,"worship (esp. Christian), adoration, divine service"
reihuku,れいふく,礼服,"ceremonial dress, evening dress, dress suit, morning suit"
rei,れい,零,"zero, nought"
reika,れいか,零下,"below zero, sub-zero"
reisai,れいさい,零細,"insignificant, trifling, paltry, cottage (industry), tiny (company)"
rei,れい,霊,"soul, spirit, departed soul, ghost"
reikai,れいかい,霊界,"the spiritual world"
reiki,れいき,霊気,"mysterious presence, mysterious atmosphere, aura of mystery"
reisei,れいせい,霊性,"divine nature, spirituality"
reiteki,れいてき,霊的,"spiritual, incorporeal"
reiniku,れいにく,霊肉,"body and soul"
reinou,れいのう,霊能,"spiritual ability"
reihou,れいほう,霊峰,"sacred mountain"
reiyaku,れいやく,霊薬,"miraculous medicine, miracle drug, wonder drug"
uruwasii,うるわしい,麗しい,"beautiful, lovely"
yowai,よわい,齢,"(one's) age"
koyomi,こよみ,暦,"calendar, almanac"
koyomikaisei,こよみかいせい,暦改正,"calendar reform"
rekisuu,れきすう,暦数,"calendar making, number of years, one's fate, the year"
rekihou,れきほう,暦法,"calendar making"
rekisi,れきし,歴仕,"(successive lords) using the same retainers"
rekisi,れきし,歴史,"history"
rekisitonarukoto,れきしとなること,歴史となること,"history-making event"
rekisika,れきしか,歴史家,"historian"
rekisitiri,れきしちり,歴史地理,"historical geography"
rekisiteki,れきしてき,歴史的,"historic, historical, traditional"
rekisitekikeiikara,れきしてきけいいから,歴史的経緯から,"for historical reasons"
rekisei,れきせい,歴世,"successive generations, successive emperors"
rekihounokaisei,れきほうのかいせい,歴法の改正,"calendar reform"
rekihou,れきほう,歴訪,"round of calls, tour of visitation"
rekiyuu,れきゆう,歴遊,"touring"
retu,れつ,列,"row, line, file, column, queue, rank, procession"
otoru,おとる,劣る,"to be inferior to, to be less good at, to fall behind"
retuaku,れつあく,劣悪,"inferior, coarse, poor quality, inadequate, deteriorated"
sakeru,さける,裂ける,"to split, to tear, to burst, to be separated, to be divided"
sakeme,さけめ,裂け目,"tear, rip, rent, slit, crack, chasm, rift"
koi,こい,恋,"(romantic) love"
koisomeru,こいそめる,恋い初める,"to begin to love"
koisitau,こいしたう,恋い慕う,"to miss, to yearn for"
koikurasu,こいくらす,恋い暮らす,"to live deeply in love"
koikomoru,こいこもる,恋い籠る,"to cause heartache because of a (hidden) love, to be miserable because of love"
kou,こう,恋う,"to love"
koisii,こいしい,恋しい,"yearned for, longed for, missed"
koinonayami,こいのなやみ,恋の悩み,"pain of love, love troubles"
koiwosuru,こいをする,恋をする,"to fall in love"
koikawa,こいかわ,恋河,"oceans of love"
koiuranai,こいうらない,恋占い,"love fortune-telling"
koinaka,こいなか,恋仲,"being in love with each other"
koineko,こいねこ,恋猫,"cat in heat, cat in season"
neriawaseru,ねりあわせる,練り合わせる,"to knead together"
neriaruku,ねりあるく,練り歩く,"to parade, to march, to walk in procession"
neru,ねる,練る,"to knead, to thicken into a paste (stirring over a flame)"
hasu,はす,蓮,"sacred lotus (Nelumbo nucifera), Indian lotus, lotus"
turanaru,つらなる,連なる,"to extend, to stretch out, to stand in a row"
turaneru,つらねる,連ねる,"to line up, to put in a row"
ture,つれ,連れ,"companion, company"
turete,つれて,連れて,"as, in proportion to"
tureru,つれる,連れる,"to take (someone) with one, to bring along, to go with, to be accompanied by"
turesaru,つれさる,連れ去る,"to take away, to kidnap"
tureai,つれあい,連れ合い,"one's husband, one's wife"
turekomu,つれこむ,連れ込む,"to bring (somebody into a place)"
turesou,つれそう,連れ添う,"to become a couple, to be man and wife, to be married to"
tureko,つれこ,連れ子,"child from previous marriage, child of a former spouse, stepchild"
ro,ろ,櫓,"Japanese scull (oar attached to the rear of the boat by a traditional peg-in-hole oarlock)"
rokata,ろかた,路肩,"shoulder (of a road), berm"
tuyu,つゆ,露,"dew"
arawa,あらわ,露,"exposed, scanty, bare, unconcealed, naked"
roei,ろえい,露営,"bivouac"
rokou,ろこう,露光,"(photographic) exposure"
rokotu,ろこつ,露骨,"open, unconcealed, undisguised, blatant, plain, frank"
rotei,ろてい,露呈,"exposure, disclosure"
rou,ろう,労,"labor, labour, toil, trouble, pains, work, effort, striving"
itawari,いたわり,労り,"sympathy, consideration, carefulness, attention"
itawaru,いたわる,労る,"to pity, to sympathize with, to sympathise with, to treat with sympathy, to console, to be kind to, to appreciate"
itawasii,いたわしい,労わしい,"heartrending, pitiful, saddening, pathetic, heart-breaking"
rouku,ろうく,労苦,"labor, labour, toil, hardship"
roukou,ろうこう,労功,"meritorious deed"
rousai,ろうさい,労災,"work-related injury, work-related illness, work-related death, on-the-job accident"
rousaku,ろうさく,労作,"toil, labor, labour, laborious task"
rousi,ろうし,労使,"labour and management, labor and management"
rousi,ろうし,労資,"capital and labor, capital and labour, capitalists and laborers, capitalists and labourers"
rouso,ろうそ,労組,"labor union, labour union, trade union"
rounou,ろうのう,労農,"workers and farmers"
rounouseihu,ろうのうせいふ,労農政府,"Soviet Government"
rounoutou,ろうのうとう,労農党,"labor-farmer party, labour-farmer party"
roumu,ろうむ,労務,"labor, labour, work, service"
roueki,ろうえき,労役,"work, labor, labour, toil"
rouka,ろうか,廊下,"corridor, hallway, passageway"
rousuru,ろうする,弄する,"to play with, to joke, to use (esp. trick, sophistry, etc.)"
rouei,ろうえい,朗詠,"recitation (of Japanese or Chinese poem)"
rouhou,ろうほう,朗報,"good news"
roukaku,ろうかく,楼閣,"multistoried building"
rouhi,ろうひ,浪費,"waste, extravagance"
moru,もる,漏る,"to leak, to run out"
more,もれ,漏れ,"leakage"
morekiku,もれきく,漏れ聞く,"to overhear"
rouei,ろうえい,漏洩,"leak (of secrets, information, etc.), disclosure, divulging"
rousui,ろうすい,漏水,"water leakage, water leak"
rouwa,ろうわ,漏話,"cross talk"
rouya,ろうや,牢屋,"jail, gaol, jailhouse"
ookami,おおかみ,狼,"wolf (Canis lupus)"
norosi,のろし,狼煙,"beacon, skyrocket, signal fire, smoke signals"
oiru,おいる,老いる,"to age, to grow old"
huke,ふけ,老け,"aging, ageing"
hukeru,ふける,老ける,"to age, to grow old (esp. in appearance), to show marks of age"
rouou,ろうおう,老翁,"old man"
roukou,ろうこう,老功,"experienced, seasoned, veteran"
rousai,ろうさい,老妻,"old woman"
rousi,ろうし,老子,"Laozi, Lao Tzu, Lao Tse"
rousui,ろうすい,老衰,"senility, senile decay, infirmity (through age)"
rourei,ろうれい,老齢,"advanced age, senility"
rousuru,ろうする,聾する,"to deafen"
roua,ろうあ,聾唖,"deafness"
rou,ろう,蝋,"wax"
rousoku,ろうそく,蝋燭,"candle"
muika,むいか,六日,"sixth day of the month"
wakou,わこう,倭寇,"wokou, wakou, Japanese pirates of the Middle Ages"
wa,わ,和,"sum"
waei,わえい,和英,"Japanese-English"
waka,わか,和歌,"waka, classic Japanese poem, esp. a tanka, often 31 morae"
wakai,わかい,和解,"reconciliation, amicable settlement, accommodation, compromise, mediation, rapprochement"
wakiaiai,わきあいあい,和気あいあい,"harmonious, peaceful, congenial, friendly, happy"
wasi,わし,和紙,"washi, Japanese paper"
wasitu,わしつ,和室,"Japanese-style room"
wasei,わせい,和製,"Japanese-made"
wasou,わそう,和装,"Japanese clothing, being dressed in a kimono"
wahuu,わふう,和風,"Japanese style"
wahuku,わふく,和服,"Japanese clothes"
wahei,わへい,和平,"peace"
wayaku,わやく,和訳,"Japanese translation"
wayou,わよう,和洋,"Japan and Europe"
hanasikakeru,はなしかける,話しかける,"to address (someone), to accost a person, to talk (to someone)"
hanasiau,はなしあう,話し合う,"to discuss, to talk together"
hanasikomu,はなしこむ,話し込む,"to be deep in talk"
hanasite,はなして,話し手,"speaker"
hanasikata,はなしかた,話し方,"way of talking, speaking style"
hanasu,はなす,話す,"to talk, to speak, to converse, to chat"
hanaseru,はなせる,話せる,"to be able to speak, to be able to talk"
wahou,わほう,話法,"narration"
makanai,まかない,賄い,"boarding, board, meals, catering, cook"
makanaituki,まかないつき,賄い付き,"with meals, meals inclusive"
makanau,まかなう,賄う,"to supply (goods, money, etc.), to cover (costs), to pay, to finance, to maintain (e.g. a family)"
wairo,わいろ,賄賂,"bribe, sweetener, douceur"
waki,わき,脇,"armpit, under one's arm, side, flank"
wakiyaku,わきやく,脇役,"supporting role (actor), minor role"
wakusei,わくせい,惑星,"planet"
waku,わく,枠,"frame, framework"
wakunai,わくない,枠内,"within the limits (framework, boundaries, price, etc.)"
wasi,わし,鷲,"eagle (Accipitridae family)"
wani,わに,鰐,"crocodile, alligator, crocodilian"
wara,わら,藁,"straw"
kairi,かいり,乖離,"divergence, alienation, deviation, estrangement, separation, detachment"
honomekasi,ほのめかし,仄めかし,"hint, intimation, suggestion, inkling"
honomekasu,ほのめかす,仄めかす,"to hint at, to intimate, to suggest, to allude to, to imply"
honomeku,ほのめく,仄めく,"to be seen dimly, to glimmer"
kouhai,こうはい,伉配,"spouse, married couple"
hai,はい,佩,"ancient oriental belt decoration"
haitou,はいとう,佩刀,"carrying a sword"
haiyou,はいよう,佩用,"wearing (an insignia, sword, etc.)"
so,そ,俎,"altar of sacrifice"
riyou,りよう,俚謡,"ballad, folk song, popular song"
rihatu,りはつ,俐発,"cleverness, wisdom, intelligence"
kuruma,くるま,俥,"rickshaw, jinrikisha"
isi,いし,倚子,"traditional square chair with armrests and a torii-shaped back (used by the emperor, etc. during ceremonies)"
kousou,こうそう,倥偬,"hurrying"
utumuku,うつむく,俯く,"to hang one's head, to look down, to cast one's eyes downward"
hukaku,ふかく,俯角,"depression, angle of dip"
utumuki,うつむき,俯き,"lying face down, upside down, prone"
utumuke,うつむけ,俯け,"lying face down, upside down, prone"
utumukeru,うつむける,俯ける,"to turn upside down, to turn (face) downward"
huhuku,ふふく,俯伏,"prostration"
kairaku,かいらく,偕楽,"enjoying oneself with others"
kairou,かいろう,偕老,"growing old together"
nasu,なす,作す,"to make"
tousi,とうし,盗視,"stealthy glance, furtive glance"
kairaisi,かいらいし,傀儡師,"puppeteer, puppet player"
kairaiseihu,かいらいせいふ,傀儡政府,"puppet government"
menoto,めのと,傅,"instructor, tutor (to a prince)"
huiku,ふいく,傅育,"bringing up, tuition"
saihai,さいはい,儕輩,"colleagues, fellows"
motasekakeru,もたせかける,もたせ掛ける,"to lean against, to set against"
motareru,もたれる,凭れる,"to lean against, to lean on, to recline on"
motareisu,もたれいす,もたれ椅子,"reclining chair"
motarekakaru,もたれかかる,もたれ掛かる,"to lean on, to recline on"
hane,はね,刎,"counter for helmets, etc."
kurikata,くりかた,刳形,"molding, moulding"
kurihune,くりふね,刳り舟,"dugout canoe"
setuna,せつな,刹那,"moment, instant"
setunateki,せつなてき,刹那的,"ephemeral, transitory"
teki,てき,剔,"cutting"
hasamikiru,はさみきる,剪み切る,"to nip off, to snip, to clip, to trim off"
kiru,きる,剪る,"to cut, to prune, to trim (branches, leaves, flowers, etc.)"
heki,へき,劈,"break, tear, pierce, split, burst"
hekikai,へきかい,へき開,"cleavage (in gems)"
hekitou,へきとう,劈頭,"beginning, outset, opening, start"
keisotu,けいそつ,勁卒,"excellent soldier"
keiteki,けいてき,勁敵,"formidable foe"
soutou,そうとう,勦討,"complete annihilation"
hohuku,ほふく,匍匐,"creeping, crawling, sneaking"
kawaya,かわや,厠,"privy, toilet"
keturei,けつれい,厥冷,"clamminess, coldness of body"
ketiwotukeru,ケチをつける,ケチを付ける,"to find fault with, to rain on someone's parade, to nitpick, to quibble"
umeki,うめき,呻き,"moan, groan, groaning"
umeku,うめく,呻く,"to moan, to groan"
hanasika,はなしか,噺家,"professional comic (rakugo) storyteller"
houkou,ほうこう,咆哮,"roar, howl, yell, bellow"
siseki,しせき,咫尺,"very short distance"
susuru,すする,啜る,"to sip, to slurp"
unari,うなり,唸り,"groan, moan"
unaru,うなる,唸る,"to groan, to moan"
rama,らま,喇嘛,"lama"
oetu,おえつ,嗚咽,"sobbing, weeping, fit of crying"
aa,ああ,嗚呼,"ah!, oh!, alas!"
sikou,しこう,嗜好,"taste, liking, preference"
outo,おうと,嘔吐,"vomiting, emesis"
museru,むせる,噎せる,"to choke, to be choked by, to be stifled by"
musekaeru,むせかえる,むせ返る,"to choke, to be choked (by)"
sasayaku,ささやく,囁く,"to whisper, to murmur"
hayasu,はやす,囃す,"to play accompaniment, to keep time"
hayasi,はやし,囃子,"accompaniment for traditional performances (noh, kabuki, etc.), orchestra, band"
otori,おとり,囮,"decoy (for hunting), stool"
hokori,ほこり,埃,"dust"
kiyo,きよ,毀誉,"praise and censure, approval and disapproval, approbation and condemnation"
kata,かた,夥多,"many, plentiful"
yousi,ようし,夭死,"premature death"
yousei,ようせい,夭逝,"premature death"
yousetu,ようせつ,夭折,"premature death"
eki,えき,奕,"playing the game of go"
ekisei,えきせい,奕世,"many generations"
nei,ねい,佞,"flattery, insincerity"
neiaku,ねいあく,佞悪,"perverseness, perverse person"
neiti,ねいち,佞智,"craftiness"
sinayaka,しなやか,嫋か,"supple, flexible, elastic"
kaesu,かえす,孵す,"to hatch, to incubate"
kaeru,かえる,孵る,"to hatch out"
huka,ふか,孵化,"incubation, hatching"
hukaki,ふかき,孵化器,"incubator"
muku,むく,尨,"shaggy hair"
mukuinu,むくいぬ,むく犬,"shaggy dog"
herikutu,へりくつ,屁理屈,"sophism, chop logic, far-fetched argument, quibble, cavil, argument for argument's sake"
heisoku,へいそく,屏息,"bated breath, being cowed into silence"
hameru,はめる,嵌める,"to insert, to put in (such that there is a snug fit), to button, to put on (something that envelops, e.g. gloves, ring)"
hamekomu,はめこむ,はめ込む,"to inlay, to insert, to set"
mikoyose,みこよせ,巫女寄せ,"spiritism, necromancy, sorcery"
yamunaku,やむなく,止む無く,"out of necessity, with no other option, perforce, unavoidably, reluctantly, unwillingly"
houki,ほうき,箒,"broom"
iaku,いあく,帷幄,"headquarters, general staff"
suisei,すいせい,彗星,"comet"
suiseinoyouniarawareru,すいせいのようにあらわれる,彗星のように現れる,"to become famous overnight, to burst into fame"
ihou,いほう,彙報,"bulletin, collection of reports"
houhutu,ほうふつ,彷彿,"(bearing a) close resemblance, vivid reminder (e.g. of the past)"
houkou,ほうこう,彷徨,"wandering, rambling, roaming"
samayou,さまよう,彷徨う,"to loiter, to putter, to prowl, to wander about, to roam about, to knock around"
urotuku,うろつく,彷徨く,"to loiter, to putter, to prowl, to wander aimlessly, to knock around, to hang around"
koukotu,こうこつ,恍惚,"ecstasy, rapture, trance"
sii,しい,恣意,"arbitrariness"
siiteki,しいてき,恣意的,"arbitrary"
tuku,つく,憑く,"to possess, to haunt"
tukimono,つきもの,憑き物,"evil spirit, demon"
risai,りさい,罹災,"suffering (from a calamity), affliction"
inu,いぬ,戌,"the Dog (eleventh sign of the Chinese zodiac)"
tuneru,つねる,抓る,"to pinch, to nip"
suneru,すねる,拗ねる,"to be peevish, to sulk, to pout"
rati,らち,拉致,"taking captive, carrying away, kidnapping, kidnaping, abduction"
kosiraeru,こしらえる,拵える,"to make, to manufacture"
tukune,つくね,捏ね,"chicken or fish meatloaf made with egg"
koneru,こねる,捏ねる,"to knead, to mix with fingers"
suru,する,掏る,"to pickpocket, to steal"
suri,すり,掏摸,"pickpocket"
okite,おきて,掟,"law, regulation, rule, code, agreement, arrangement, compact"
momiau,もみあう,揉み合う,"to jostle, to shove and push, to struggle with one another"
momikesu,もみけす,もみ消す,"to stub out (e.g. a cigarette), to crush out, to smother (fire)"
momu,もむ,揉む,"to rub, to crumple"
mome,もめ,揉め,"quarrel, trouble, dispute"
momeru,もめる,揉める,"to disagree, to dispute, to fight (over)"
yayu,やゆ,揶揄,"banter, raillery, ridicule, teasing, making fun of"
karakau,からかう,揶揄う,"to ridicule, to tease, to mock, to chaff, to razz, to banter with, to make fun of, to poke fun at, to make cracks about"
karametoru,からめとる,絡め取る,"to catch and tie up, to apprehend, to arrest, to capture"
karamete,からめて,搦め手,"rear gate (esp. of castle), back entrance"
hanetukeru,はねつける,撥ね付ける,"to flatly refuse, to reject, to spurn"
heisi,へいし,へい死,"falling dead, perishing, dying"
tukuri,つくり,旁,"right-hand radical of a character"
aimai,あいまい,曖昧,"vague, ambiguous, unclear"
aimaisa,あいまいさ,曖昧さ,"ambiguity"
aimaimoko,あいまいもこ,曖昧模糊,"obscure, vague, ambiguous"
iwaku,いわく,曰く,"pretext, history, past, story"
mourou,もうろう,朦朧,"dim, hazy, vague, indistinct, faint, fuzzy, cloudy, obscure"
kiyuu,きゆう,杞憂,"needless fear, groundless apprehension, unfounded worry"
kase,かせ,枷,"shackles, fetters, irons, handcuffs, restraint, constraint"
kuko,くこ,枸杞,"Chinese matrimony vine (Lycium chinense), Chinese wolfberry, goji"
hinoki,ひのき,檜,"hinoki cypress (Chamaecyparis obtusa), Japanese cypress"
siori,しおり,栞,"bookmark"
hukurou,ふくろう,梟,"owl (esp. the Ural owl, Strix uralensis)"
kamasu,かます,梭子魚,"barracuda (Sphyraena spp.)"
natume,なつめ,棗,"jujube (Ziziphus jujube), Chinese date, red date"
natumeyasi,なつめやし,棗椰子,"date palm (Phoenix dactylifera), date"
sawara,さわら,椹,"sawara cypress (Chamaecyparis pisifera)"
yasi,やし,椰子,"palm tree (any tree of family Arecaceae)"
momi,もみ,樅,"Japanese fir (Abies firma), momi fir"
toukotu,とうこつ,橈骨,"radius (bone of the forearm)"
ori,おり,檻,"cage, pen, (jail) cell"
musiritoru,むしりとる,むしり取る,"to tear off, to pluck off, to take forcibly"
musiru,むしる,毟る,"to pluck, to pick, to tear"
kika,きか,麾下,"under the command (of), under the banner (of), influenced (by)"
mokuyoku,もくよく,沐浴,"bathing, washing one's body or hair, ablution"
kareru,かれる,涸れる,"to dry up (spring, pond, etc.), to run out"
kasu,かす,滓,"dregs, sediment, grounds, meal"
roka,ろか,濾過,"filtration, filtering, percolation"
rosi,ろし,濾紙,"filter paper"
itameru,いためる,炒める,"to fry, to saute, to stir-fry"
itamemono,いためもの,炒め物,"stir-fry, fried food (cooked in wok, frying pan, etc.)"
iriko,いりこ,炒り子,"small dried sardine"
sakuyaku,さくやく,炸薬,"explosives"
sakuretu,さくれつ,炸裂,"violent explosion, bursting"
houroku,ほうろく,焙烙,"earthenware baking pan, parching pan"
koukou,こうこう,煌々,"brilliant, bright, dazzling"
kirameki,きらめき,煌めき,"glitter, glimmer, sparkle, twinkle"
kuyurasu,くゆらす,燻らす,"to smoke (e.g. pipe), to puff (cigarette)"
nosi,のし,熨斗,"long thin strip of dried sea-ear or paper attached to a gift"
nosiwotukeru,のしをつける,のしを付ける,"to happily give away, to be glad (to give, to get rid of)"
okosu,おこす,熾す,"to build (a fire), to make, to start, to light"
siretu,しれつ,熾烈,"fierce (fight, competition, etc.), severe, hot, hard, bitter, keen, cutthroat"
oki,おき,燠,"embers, live charcoal"
kouti,こうち,狡知,"craft, cunning"
koukatu,こうかつ,狡猾,"sly, cunning, crafty"
waisetu,わいせつ,猥褻,"obscene, indecent, dirty, improper"
taimai,たいまい,玳瑁,"hawksbill turtle (Eretmochelys imbricata)"
hari,はり,玻璃,"quartz"
kohaku,こはく,琥珀,"amber"
kohakuiro,こはくいろ,琥珀色,"amber (colour, color)"
hourou,ほうろう,琺瑯,"enamel, enamelled metalware (sinks, pots, etc.)"
kasi,かし,瑕疵,"flaw, defect, fault"
samatu,さまつ,瑣末,"trivial, trifling"
menou,めのう,瑪瑙,"agate"
toutuu,とうつう,疼痛,"pain"
housou,ほうそう,疱瘡,"smallpox, variola"
kayui,かゆい,痒い,"itchy"
turu,つる,攣る,"to cramp, to be cramped, to contract"
siwa,しわ,皺,"wrinkle, crease"
taraimawasi,たらいまわし,たらい回し,"acrobatic barrel-rolling (performed using the feet while lying on the back)"
memai,めまい,目眩,"dizziness, giddiness, vertigo"
niramiau,にらみあう,睨み合う,"to glare at each other"
niramiawaseru,にらみあわせる,にらみ合わせる,"to weigh one thing against the other, to act in consideration of, to compare and take into consideration"
niramitukeru,にらみつける,睨みつける,"to glare at, to scowl at"
niramu,にらむ,睨む,"to glare at, to scowl at, to glower at"
meisou,めいそう,瞑想,"meditation, contemplation"
waiku,わいく,矮躯,"small stature"
hiso,ひそ,砒素,"arsenic (As)"
houso,ホウそ,ホウ素,"boron (B)"
rokuni,ろくに,碌に,"(not) well, (not) enough, (im)properly, (in)sufficiently, (un)satisfactorily"
tatari,たたり,祟り,"curse, divine punishment, wrath (of an angry spirit)"
tataru,たたる,祟る,"to curse, to cast a spell, to haunt, to torment"
harai,はらい,祓い,"purification, exorcism"
yaya,やや,稍,"a little, partially, somewhat, slightly, semi-, -ish, on the ... side, a short time, a while"
eta,えた,穢多,"eta, group comprising the lowest rank of Japan's Edo-period caste system (people whose work usually involved handling human bodies or animal carcasses)"
tasinameru,たしなめる,窘める,"to chide, to rebuke, to reprove"
yatureru,やつれる,窶れる,"to be haggard, to be gaunt, to be emaciated, to be worn out (e.g. illness, worry)"
sukumu,すくむ,竦む,"to freeze (from fear, etc.), to be unable to move (e.g. from surprise), to be paralyzed (with horror, etc.)"
sukumeru,すくめる,竦める,"to shrug (shoulders), to duck (head), to draw back (body)"
huruinikakeru,ふるいにかける,篩に掛ける,"to sieve, to sift, to winnow, to separate (wheat from chaff)"
huruiwakeru,ふるいわける,ふるい分ける,"to sift, to screen"
hitiriki,ひちりき,篳篥,"small double-reed wind instrument used in gagaku (made of bamboo, with 7 holes on top and 2 below)"
yana,やな,梁,"(fish) weir, fish trap"
uyo,うよ,紆余,"meandering, winding"
kase,かせ,綛,"hank, skein, reel"
kira,きら,綺羅,"fine clothes"
timitu,ちみつ,緻密,"minute, fine, delicate, accurate, precise, elaborate"
isi,いし,縊死,"suicide by hanging, hanging oneself"
wana,わな,罠,"snare, trap (for catching wild game, etc.)"
wana,わな,輪奈,"loop (of thread, string, etc.)"
reiyou,れいよう,羚羊,"antelope"
kakeru,かける,翔る,"to soar, to fly"
hisuiiro,ひすいいろ,翡翠色,"jade green"
mouroku,もうろく,耄碌,"senility, dotage, decrepitude"
tori,とり,肚裏,"in the heart"
haisi,はいし,胚子,"embryo"
haitai,はいたい,胚胎,"germination, pregnancy"
sune,すね,脛,"shin, shank, lower leg"
keikotu,けいこつ,脛骨,"tibia, shinbone"
suneate,すねあて,脛当て,"greaves, shin guards"
hikotu,ひこつ,腓骨,"fibula"
hunuke,ふぬけ,腑抜け,"fool, coward"
tako,たこ,胼胝,"callus, callosity, corn"
nikawa,にかわ,膠,"glue (usu. from animal and fish bone, skin, etc.)"
kouka,こうか,膠化,"gelatinization, gelatinisation"
kousitu,こうしつ,膠漆,"glue and lacquer, great intimacy"
kousitu,こうしつ,膠質,"colloid"
heso,へそ,臍,"navel, belly button"
hesonoo,へそのお,へその緒,"umbilical cord"
seika,せいか,臍下,"lower abdomen"
hesokuri,へそくり,臍繰り,"secret savings, secret stash, money hidden away"
kakiireru,かきいれる,舁き入れる,"to carry in"
nameru,なめる,舐める,"to lick, to lap, to suck"
hasike,はしけ,艀,"barge"
soukou,そうこう,艙口,"hatch, hatchway (ship)"
tomo,とも,艫,"stern"
reisi,れいし,茘枝,"litchi (Nephelium litchi), lychee, lichee, litchi nut"
saya,さや,莢,"shell (e.g. of a pea), pod, hull"
hisai,ひさい,非才,"lack of ability, incompetence, incapacity"
hima,ひま,蓖麻,"castor oil plant"
himasi,ひまし,蓖麻子,"castor bean"
himasiyu,ひましゆ,ひまし油,"castor oil"
sosai,そさい,蔬菜,"greens, vegetables"
sirami,しらみ,虱,"louse (esp. a sucking louse), lice"
morokosi,もろこし,蜀黍,"sorghum (Sorghum bicolor), Indian millet"
monukenokara,もぬけのから,もぬけの殻,"completely empty (of a residence, etc.), vacant, deserted"
youka,ようか,蛹化,"pupation"
katatumuri,かたつむり,蝸牛,"snail"
koumori,こうもり,蝙蝠,"bat (Chiroptera spp.)"
komekami,こめかみ,顳顬,"temple (side of head)"
kera,けら,螻蛄,"mole cricket (esp. the Oriental mole cricket, Gryllotalpa orientalis)"
sasori,さそり,蠍,"scorpion (Scorpiones spp.)"
kowaku,こわく,蠱惑,"fascination, glamour, glamor, enchantment, seduction"
kowakuteki,こわくてき,蠱惑的,"fascinating, alluring"
terau,てらう,衒う,"to show off, to parade, to pretend"
aseru,あせる,褪せる,"to fade, to discolor, to discolour"
sameru,さめる,褪める,"to fade, to lose colour (color), to discolour (discolor)"
taikou,たいこう,退紅,"pink, light red"
ke,け,褻,"mundane, commonplace, ordinary"
huhou,ふほう,訃報,"news of someone's death, obituary"
kousou,こうそう,訌争,"internal discord, internal dissension"
namari,なまり,訛り,"accent (of one's speech)"
namaru,なまる,訛る,"to speak with an accent, to be corrupted (of word), to mispronounce"
kikei,きけい,詭計,"tricks, wiles"
aturaeru,あつらえる,誂える,"to give an order, to place an order, to have made to order"
tarasu,たらす,誑す,"to cajole, to deceive, to seduce"
siiru,しいる,誣いる,"to slander, to accuse falsely"
isakai,いさかい,諍い,"quarrel, dispute, argument"
isakau,いさかう,諍う,"to quarrel, to dispute"
heturau,へつらう,諂う,"to flatter, to curry favour (with), to play up (to), to suck up (to), to toady (to)"
isameru,いさめる,諌める,"to remonstrate, to admonish (someone) for, to advise (someone) not to, to warn against"
kaisei,かいせい,諧声,"vocal harmony, harmonious voice, harmonious voices"
utawareru,うたわれる,謳われる,"to be famed, to be extolled, to have one's praises sung, to be celebrated, to be admired"
